sequence,timestamp,page,order_in_page,cuce,label,source_name,target_name,mode,status
557,2026-06-29T02:03:06.058Z,93,1,26-0903-19-1668584-1-1,Documento Base de Contratacion,Rr5DIvb.docx,26-0903-19-1668584-1-1-documento_base_contratacion.docx,move,moved
558,2026-06-29T02:03:14.075Z,93,2,26-0054-02-1667479-1-1,Documento Base de Contratacion,qT3H3F.docx,26-0054-02-1667479-1-1-documento_base_contratacion.docx,move,moved
559,2026-06-29T02:03:22.094Z,93,3,26-0903-17-1668174-1-1,Documento Base de Contratacion,fmOq8oo.docx,26-0903-17-1668174-1-1-documento_base_contratacion.docx,move,moved
560,2026-06-29T02:03:30.116Z,93,4,26-1734-00-1666460-1-1,Documento Base de Contratacion,6mT94ED.docx,26-1734-00-1666460-1-1-documento_base_contratacion.docx,move,moved
561,2026-06-29T02:03:38.123Z,93,5,26-1201-00-1668566-1-1,Documento Base de Contratacion,iXmHZ4.docx,26-1201-00-1668566-1-1-documento_base_contratacion.docx,move,moved
562,2026-06-29T02:03:46.146Z,93,6,26-0903-20-1667512-1-1,Documento Base de Contratacion,xM1sZcN.docx,26-0903-20-1667512-1-1-documento_base_contratacion.docx,move,moved
563,2026-06-29T02:03:54.166Z,93,7,26-1704-00-1662727-1-2,Documento Base de Contratacion,FnGdTgyn1.doc,26-1704-00-1662727-1-2-documento_base_contratacion.doc,move,moved
564,2026-06-29T02:04:02.178Z,93,8,26-660-15-1668599-1-1,Documento Base de Contratacion,SpcPDlM.docx,26-660-15-1668599-1-1-documento_base_contratacion.docx,move,moved
565,2026-06-29T02:04:10.185Z,93,9,26-1201-00-1668589-1-1,Documento Base de Contratacion,YnObBIcDLy.docx,26-1201-00-1668589-1-1-documento_base_contratacion.docx,move,moved
566,2026-06-29T02:04:28.090Z,94,1,26-0903-20-1667507-1-1,Documento Base de Contratacion,qo5xubk.docx,26-0903-20-1667507-1-1-documento_base_contratacion.docx,move,moved
567,2026-06-29T02:04:36.107Z,94,2,26-1734-00-1668180-1-1,Documento Base de Contratacion,xdzswvl.docx,26-1734-00-1668180-1-1-documento_base_contratacion.docx,move,moved
568,2026-06-29T02:04:44.114Z,94,3,26-1701-00-1668479-1-1,Documento Base de Contratacion,EQvaJzM1.docx,26-1701-00-1668479-1-1-documento_base_contratacion.docx,move,moved
569,2026-06-29T02:04:52.125Z,94,4,26-0517-02-1663840-1-2,Documento Base de Contratacion,dGPOwuhyg4.docx,26-0517-02-1663840-1-2-documento_base_contratacion.docx,move,moved
570,2026-06-29T02:05:00.146Z,94,5,26-0903-17-1668576-1-1,Documento Base de Contratacion,DIpwWnj.doc,26-0903-17-1668576-1-1-documento_base_contratacion.doc,move,moved
571,2026-06-29T02:05:08.164Z,94,6,26-0517-02-1668539-1-1,Documento Base de Contratacion,1vcbCjt.docx,26-0517-02-1668539-1-1-documento_base_contratacion.docx,move,moved
572,2026-06-29T02:05:16.183Z,94,7,26-0517-02-1668471-1-1,Documento Base de Contratacion,2CK5YU.docx,26-0517-02-1668471-1-1-documento_base_contratacion.docx,move,moved
573,2026-06-29T02:05:24.201Z,94,8,26-0902-21-1668036-1-1,Documento Base de Contratacion,nFDbKcd.docx,26-0902-21-1668036-1-1-documento_base_contratacion.docx,move,moved
574,2026-06-29T02:05:32.220Z,94,9,26-0903-19-1668503-1-1,Documento Base de Contratacion,nvjOGB.docx,26-0903-19-1668503-1-1-documento_base_contratacion.docx,move,moved
575,2026-06-29T02:05:40.240Z,94,10,26-0905-01-1668560-1-1,Documento Base de Contratacion,QtnkSkfTNk.docx,26-0905-01-1668560-1-1-documento_base_contratacion.docx,move,moved
576,2026-06-29T02:05:58.117Z,95,1,26-1701-00-1668540-1-1,Documento Base de Contratacion,b8DwPapO.docx,26-1701-00-1668540-1-1-documento_base_contratacion.docx,move,moved
577,2026-06-29T02:06:06.125Z,95,2,26-0417-09-1668564-1-1,Documento Base de Contratacion,O1JOeU.docx,26-0417-09-1668564-1-1-documento_base_contratacion.docx,move,moved
578,2026-06-29T02:06:14.130Z,95,3,26-1701-00-1666425-1-1,Documento Base de Contratacion,RnhrZv88.docx,26-1701-00-1666425-1-1-documento_base_contratacion.docx,move,moved
579,2026-06-29T02:06:22.138Z,95,4,26-0417-09-1668544-1-1,Documento Base de Contratacion,VsL3uXmPo.docx,26-0417-09-1668544-1-1-documento_base_contratacion.docx,move,moved
580,2026-06-29T02:06:30.158Z,95,5,26-0016-27-1668516-1-1,Documento Base de Contratacion,LMW42e.docx,26-0016-27-1668516-1-1-documento_base_contratacion.docx,move,moved
581,2026-06-29T02:06:48.124Z,96,1,26-0417-09-1668508-1-1,Documento Base de Contratacion,Lp6A59.docx,26-0417-09-1668508-1-1-documento_base_contratacion.docx,move,moved
582,2026-06-29T02:06:56.144Z,96,2,26-0660-14-1652234-1-2,Documento Base de Contratacion,AUw82jX7Op.docx,26-0660-14-1652234-1-2-documento_base_contratacion.docx,move,moved
583,2026-06-29T02:07:04.164Z,96,3,26-1701-00-1666445-1-1,Documento Base de Contratacion,tgXaIB.docx,26-1701-00-1666445-1-1-documento_base_contratacion.docx,move,moved
584,2026-06-29T02:07:12.182Z,96,4,26-1401-03-1668454-1-1,Documento Base de Contratacion,ETHazY.docx,26-1401-03-1668454-1-1-documento_base_contratacion.docx,move,moved
585,2026-06-29T02:07:20.189Z,96,5,26-2327-00-1656788-2-1,Documento Base de Contratacion,qi1ewYMTTx.docx,26-2327-00-1656788-2-1-documento_base_contratacion.docx,move,moved
586,2026-06-29T02:07:38.120Z,97,1,26-0054-03-1668437-1-1,Documento Base de Contratacion,tSGxAcfUmJ.docx,26-0054-03-1668437-1-1-documento_base_contratacion.docx,move,moved
587,2026-06-29T02:07:46.138Z,97,2,26-1120-00-1668388-1-1,Documento Base de Contratacion,ERttPGs6r.docx,26-1120-00-1668388-1-1-documento_base_contratacion.docx,move,moved
588,2026-06-29T02:07:54.146Z,97,3,26-0517-02-1668433-1-1,Documento Base de Contratacion,hBppWsK.docx,26-0517-02-1668433-1-1-documento_base_contratacion.docx,move,moved
589,2026-06-29T02:08:02.166Z,97,4,26-1507-00-1666667-1-1,Documento Base de Contratacion,zvnSPEUmcM.docx,26-1507-00-1666667-1-1-documento_base_contratacion.docx,move,moved
590,2026-06-29T02:08:10.186Z,97,5,26-0283-00-1667975-1-1,Documento Base de Contratacion,5Ue22v.docx,26-0283-00-1667975-1-1-documento_base_contratacion.docx,move,moved
591,2026-06-29T02:08:18.206Z,97,6,26-0904-04-1667846-1-1,Documento Base de Contratacion,wTlLYJvB.docx,26-0904-04-1667846-1-1-documento_base_contratacion.docx,move,moved
592,2026-06-29T02:08:26.225Z,97,7,26-0422-00-1668140-1-1,Documento Base de Contratacion,iCEKP8.docx,26-0422-00-1668140-1-1-documento_base_contratacion.docx,move,moved
593,2026-06-29T02:08:44.243Z,98,1,26-0283-00-1667608-1-1,Documento Base de Contratacion,lexlalyNJ.docx,26-0283-00-1667608-1-1-documento_base_contratacion.docx,move,moved
594,2026-06-29T02:08:52.249Z,98,2,26-0422-00-1655609-2-1,Documento Base de Contratacion,qwBbKkp.docx,26-0422-00-1655609-2-1-documento_base_contratacion.docx,move,moved
595,2026-06-29T02:09:00.268Z,98,3,26-1308-00-1664246-2-1,Documento Base de Contratacion,TAbwJlF.docx,26-1308-00-1664246-2-1-documento_base_contratacion.docx,move,moved
596,2026-06-29T02:09:08.277Z,98,4,26-0411-00-1668341-1-1,Documento Base de Contratacion,ujLjbVZkqa.docx,26-0411-00-1668341-1-1-documento_base_contratacion.docx,move,moved
597,2026-06-29T02:09:16.295Z,98,5,26-0422-00-1668369-1-1,Documento Base de Contratacion,UpEJjvg3f.docx,26-0422-00-1668369-1-1-documento_base_contratacion.docx,move,moved
598,2026-06-29T02:09:24.300Z,98,6,26-1201-00-1668316-1-1,Documento Base de Contratacion,vqg1Trmo.docx,26-1201-00-1668316-1-1-documento_base_contratacion.docx,move,moved
599,2026-06-29T02:09:32.308Z,98,7,26-1201-00-1665457-1-2,Documento Base de Contratacion,iuKoA8.docx,26-1201-00-1665457-1-2-documento_base_contratacion.docx,move,moved
600,2026-06-29T02:09:40.321Z,98,8,26-1201-00-1668103-1-1,Documento Base de Contratacion,uZURGmupUC.docx,26-1201-00-1668103-1-1-documento_base_contratacion.docx,move,moved
601,2026-06-29T02:09:48.339Z,98,9,26-1201-00-1668275-1-1,Documento Base de Contratacion,OG1rKVmY.docx,26-1201-00-1668275-1-1-documento_base_contratacion.docx,move,moved
602,2026-06-29T02:09:56.357Z,98,10,26-0035-01-1668137-1-1,Documento Base de Contratacion,m6NZIy.docx,26-0035-01-1668137-1-1-documento_base_contratacion.docx,move,moved
603,2026-06-29T02:10:14.331Z,99,1,26-1201-00-1633430-2-1,Documento Base de Contratacion,sD8O2Vcc.docx,26-1201-00-1633430-2-1-documento_base_contratacion.docx,move,moved
604,2026-06-29T02:10:22.351Z,99,2,26-1206-00-1667256-1-1,Documento Base de Contratacion,pPCgDfCN8C.docx,26-1206-00-1667256-1-1-documento_base_contratacion.docx,move,moved
605,2026-06-29T02:10:30.370Z,99,3,26-0041-25-1668296-1-1,Documento Base de Contratacion,zu5JpnmT.docx,26-0041-25-1668296-1-1-documento_base_contratacion.docx,move,moved
606,2026-06-29T02:10:38.382Z,99,4,26-0035-01-1654079-1-2,Documento Base de Contratacion,laqhiJ3xRN.docx,26-0035-01-1654079-1-2-documento_base_contratacion.docx,move,moved
607,2026-06-29T02:10:46.401Z,99,5,26-1302-00-1646653-1-2,Documento Base de Contratacion,CDe7Rc.docx,26-1302-00-1646653-1-2-documento_base_contratacion.docx,move,moved
608,2026-06-29T02:10:54.421Z,99,6,26-0389-00-1668420-1-1,Documento Base de Contratacion,zKvSxxiP.docx,26-0389-00-1668420-1-1-documento_base_contratacion.docx,move,moved
609,2026-06-29T02:11:02.441Z,99,7,26-1302-00-1667659-1-2,Documento Base de Contratacion,iQs4wFz8S.docx,26-1302-00-1667659-1-2-documento_base_contratacion.docx,move,moved
610,2026-06-29T02:11:10.460Z,99,8,26-1302-00-1668370-1-1,Documento Base de Contratacion,N3xNo7.docx,26-1302-00-1668370-1-1-documento_base_contratacion.docx,move,moved
611,2026-06-29T02:11:18.478Z,99,9,26-1201-00-1633262-2-1,Documento Base de Contratacion,bwMl7Qdn.docx,26-1201-00-1633262-2-1-documento_base_contratacion.docx,move,moved
612,2026-06-29T02:11:26.488Z,99,10,26-0035-01-1660720-2-1,Documento Base de Contratacion,3CxDYE.docx,26-0035-01-1660720-2-1-documento_base_contratacion.docx,move,moved
613,2026-06-29T02:11:44.397Z,100,1,26-0660-11-1654520-3-1,Documento Base de Contratacion,Q6NbCJaQk.docx,26-0660-11-1654520-3-1-documento_base_contratacion.docx,move,moved
614,2026-06-29T02:11:52.418Z,100,2,26-0903-17-1668359-1-1,Documento Base de Contratacion,UK1zBSXjQ.docx,26-0903-17-1668359-1-1-documento_base_contratacion.docx,move,moved
615,2026-06-29T02:12:00.438Z,100,3,26-1201-00-1668412-1-1,Documento Base de Contratacion,b9vN5PN.docx,26-1201-00-1668412-1-1-documento_base_contratacion.docx,move,moved
616,2026-06-29T02:12:08.444Z,100,4,26-1201-00-1633255-2-1,Documento Base de Contratacion,6qKZgG.doc,26-1201-00-1633255-2-1-documento_base_contratacion.doc,move,moved
617,2026-06-29T02:12:16.453Z,100,5,26-0046-37-1663664-2-1,Documento Base de Contratacion,Vxybspg.docx,26-0046-37-1663664-2-1-documento_base_contratacion.docx,move,moved
618,2026-06-29T02:12:24.460Z,100,6,26-1701-00-1668374-1-1,Documento Base de Contratacion,5oRGWY.docx,26-1701-00-1668374-1-1-documento_base_contratacion.docx,move,moved
619,2026-06-29T02:12:32.466Z,100,7,26-0905-00-1668411-1-1,Documento Base de Contratacion,WaCgLYDGC.docx,26-0905-00-1668411-1-1-documento_base_contratacion.docx,move,moved
620,2026-06-29T02:12:40.486Z,100,8,26-1201-00-1633374-2-1,Documento Base de Contratacion,jx7Ckjh.docx,26-1201-00-1633374-2-1-documento_base_contratacion.docx,move,moved
621,2026-06-29T02:12:48.507Z,100,9,26-0035-09-1668397-1-1,Documento Base de Contratacion,uOVfn4.docx,26-0035-09-1668397-1-1-documento_base_contratacion.docx,move,moved
622,2026-06-29T02:12:56.517Z,100,10,26-0035-09-1668394-1-1,Documento Base de Contratacion,qedSIfLsF4.docx,26-0035-09-1668394-1-1-documento_base_contratacion.docx,move,moved
623,2026-06-29T02:13:14.491Z,101,1,26-0035-09-1668382-1-1,Documento Base de Contratacion,TPE9aA.docx,26-0035-09-1668382-1-1-documento_base_contratacion.docx,move,moved
624,2026-06-29T02:13:22.510Z,101,2,26-1201-00-1668399-1-1,Documento Base de Contratacion,UPCDQFJY.docx,26-1201-00-1668399-1-1-documento_base_contratacion.docx,move,moved
625,2026-06-29T02:13:30.531Z,101,3,26-1701-00-1666436-1-1,Documento Base de Contratacion,984TEChlZ.docx,26-1701-00-1666436-1-1-documento_base_contratacion.docx,move,moved
626,2026-06-29T02:13:38.551Z,101,4,26-1201-00-1668144-1-1,Documento Base de Contratacion,B8fI6A.docx,26-1201-00-1668144-1-1-documento_base_contratacion.docx,move,moved
627,2026-06-29T02:13:46.571Z,101,5,26-0905-00-1640085-2-1,Documento Base de Contratacion,MY72YGO.docx,26-0905-00-1640085-2-1-documento_base_contratacion.docx,move,moved
628,2026-06-29T02:13:54.593Z,101,6,26-0418-07-1667862-1-1,Documento Base de Contratacion,EGPVzw.docx,26-0418-07-1667862-1-1-documento_base_contratacion.docx,move,moved
629,2026-06-29T02:14:02.607Z,101,7,26-0905-09-1668403-1-1,Documento Base de Contratacion,S7zZBtVr3t.docx,26-0905-09-1668403-1-1-documento_base_contratacion.docx,move,moved
630,2026-06-29T02:14:10.627Z,101,8,26-0904-00-1653954-2-1,Documento Base de Contratacion,2sF3lun6.docx,26-0904-00-1653954-2-1-documento_base_contratacion.docx,move,moved
631,2026-06-29T02:14:18.647Z,101,9,26-1201-00-1668390-1-1,Documento Base de Contratacion,qjv2LQN.docx,26-1201-00-1668390-1-1-documento_base_contratacion.docx,move,moved
632,2026-06-29T02:14:26.664Z,101,10,26-0905-09-1668395-1-1,Documento Base de Contratacion,z6pFa4GoY.docx,26-0905-09-1668395-1-1-documento_base_contratacion.docx,move,moved
633,2026-06-29T02:14:44.552Z,102,1,26-1206-00-1667736-1-1,Documento Base de Contratacion,mcoIUDZWZ.docx,26-1206-00-1667736-1-1-documento_base_contratacion.docx,move,moved
634,2026-06-29T02:14:52.558Z,102,2,26-1701-00-1668289-1-1,Documento Base de Contratacion,R2oTgsc.docx,26-1701-00-1668289-1-1-documento_base_contratacion.docx,move,moved
635,2026-06-29T02:15:00.576Z,102,3,26-0046-45-1668131-1-1,Documento Base de Contratacion,sQS3C9Z7O.docx,26-0046-45-1668131-1-1-documento_base_contratacion.docx,move,moved
636,2026-06-29T02:15:08.586Z,102,4,26-2303-00-1668313-1-1,Documento Base de Contratacion,WkipvMBxWx.docx,26-2303-00-1668313-1-1-documento_base_contratacion.docx,move,moved
637,2026-06-29T02:15:16.593Z,102,5,26-0905-00-1636677-2-1,Documento Base de Contratacion,783nTTJx.docx,26-0905-00-1636677-2-1-documento_base_contratacion.docx,move,moved
638,2026-06-29T02:15:24.601Z,102,6,26-0907-00-1668389-1-1,Documento Base de Contratacion,5sfrMTR.docx,26-0907-00-1668389-1-1-documento_base_contratacion.docx,move,moved
639,2026-06-29T02:15:32.620Z,102,7,26-0517-02-1668345-1-1,Documento Base de Contratacion,wCnFKmoRU.docx,26-0517-02-1668345-1-1-documento_base_contratacion.docx,move,moved
640,2026-06-29T02:15:40.640Z,102,8,26-1305-00-1667504-1-2,Documento Base de Contratacion,k8vxgxVtV.docx,26-1305-00-1667504-1-2-documento_base_contratacion.docx,move,moved
641,2026-06-29T02:15:48.660Z,102,9,26-1312-00-1668354-1-1,Documento Base de Contratacion,qZnII1.docx,26-1312-00-1668354-1-1-documento_base_contratacion.docx,move,moved
642,2026-06-29T02:15:56.669Z,102,10,26-1305-00-1667600-1-2,Documento Base de Contratacion,3wAr3r.docx,26-1305-00-1667600-1-2-documento_base_contratacion.docx,move,moved
643,2026-06-29T02:16:14.607Z,103,1,26-0417-05-1668267-1-1,Documento Base de Contratacion,pMKWVV.docx,26-0417-05-1668267-1-1-documento_base_contratacion.docx,move,moved
644,2026-06-29T02:16:22.613Z,103,2,26-1201-00-1668218-1-1,Documento Base de Contratacion,qGIlbDDvX.docx,26-1201-00-1668218-1-1-documento_base_contratacion.docx,move,moved
645,2026-06-29T02:16:30.635Z,103,3,26-0902-42-1668141-1-1,Documento Base de Contratacion,Zir7vK6g.docx,26-0902-42-1668141-1-1-documento_base_contratacion.docx,move,moved
646,2026-06-29T02:16:38.656Z,103,4,26-1537-00-1666257-1-1,Documento Base de Contratacion,GZUBvt4BI.docx,26-1537-00-1666257-1-1-documento_base_contratacion.docx,move,moved
647,2026-06-29T02:16:46.678Z,103,5,26-1312-00-1668368-1-1,Documento Base de Contratacion,dGva8p7.docx,26-1312-00-1668368-1-1-documento_base_contratacion.docx,move,moved
648,2026-06-29T02:16:54.685Z,103,6,26-0417-05-1668143-1-1,Documento Base de Contratacion,vfWKiKs.docx,26-0417-05-1668143-1-1-documento_base_contratacion.docx,move,moved
649,2026-06-29T02:17:02.708Z,103,7,26-0907-00-1668373-1-1,Documento Base de Contratacion,WSHRozFEi.docx,26-0907-00-1668373-1-1-documento_base_contratacion.docx,move,moved
650,2026-06-29T02:17:10.729Z,103,8,26-0266-00-1658979-2-1,Documento Base de Contratacion,KGOfVihB4v.docx,26-0266-00-1658979-2-1-documento_base_contratacion.docx,move,moved
651,2026-06-29T02:17:18.751Z,103,9,26-1701-00-1668324-1-1,Documento Base de Contratacion,9NRNlCa1.docx,26-1701-00-1668324-1-1-documento_base_contratacion.docx,move,moved
652,2026-06-29T02:17:26.765Z,103,10,26-0389-00-1667843-1-1,Documento Base de Contratacion,9IsEDHwRz.docx,26-0389-00-1667843-1-1-documento_base_contratacion.docx,move,moved
653,2026-06-29T02:17:44.677Z,104,1,26-0902-40-1667719-1-1,Documento Base de Contratacion,cN4KJee.docx,26-0902-40-1667719-1-1-documento_base_contratacion.docx,move,moved
654,2026-06-29T02:17:52.692Z,104,2,26-1106-00-1667614-1-1,Documento Base de Contratacion,pW7O51VFI.docx,26-1106-00-1667614-1-1-documento_base_contratacion.docx,move,moved
655,2026-06-29T02:18:00.702Z,104,3,26-1345-00-1656139-2-1,Documento Base de Contratacion,yH5btT.docx,26-1345-00-1656139-2-1-documento_base_contratacion.docx,move,moved
656,2026-06-29T02:18:08.712Z,104,4,26-0907-00-1668338-1-1,Documento Base de Contratacion,R53qWITJe.docx,26-0907-00-1668338-1-1-documento_base_contratacion.docx,move,moved
657,2026-06-29T02:18:16.724Z,104,5,26-1701-00-1666527-1-1,Documento Base de Contratacion,Sdu8Jf.docx,26-1701-00-1666527-1-1-documento_base_contratacion.docx,move,moved
658,2026-06-29T02:18:24.743Z,104,6,26-0907-00-1668328-1-1,Documento Base de Contratacion,srB1sW.docx,26-0907-00-1668328-1-1-documento_base_contratacion.docx,move,moved
659,2026-06-29T02:18:32.760Z,104,7,26-0287-07-1667511-1-1,Documento Base de Contratacion,dt7IKEmc.docx,26-0287-07-1667511-1-1-documento_base_contratacion.docx,move,moved
660,2026-06-29T02:18:40.767Z,104,8,26-1401-03-1668244-1-1,Documento Base de Contratacion,bi6Fdp.docx,26-1401-03-1668244-1-1-documento_base_contratacion.docx,move,moved
661,2026-06-29T02:18:48.778Z,104,9,26-0907-00-1668319-1-1,Documento Base de Contratacion,F3iHlBKShm.docx,26-0907-00-1668319-1-1-documento_base_contratacion.docx,move,moved
662,2026-06-29T02:18:56.791Z,104,10,26-0132-00-1666082-1-1,Documento Base de Contratacion,OVBsWnmg.docx,26-0132-00-1666082-1-1-documento_base_contratacion.docx,move,moved
663,2026-06-29T02:19:14.694Z,105,1,26-0907-00-1668310-1-1,Documento Base de Contratacion,alGxOC.docx,26-0907-00-1668310-1-1-documento_base_contratacion.docx,move,moved
664,2026-06-29T02:19:22.713Z,105,2,26-0907-00-1668305-1-1,Documento Base de Contratacion,sJd3HT.docx,26-0907-00-1668305-1-1-documento_base_contratacion.docx,move,moved
665,2026-06-29T02:19:30.734Z,105,3,26-1206-00-1667602-1-1,Documento Base de Contratacion,Gxyov2soA.docx,26-1206-00-1667602-1-1-documento_base_contratacion.docx,move,moved
666,2026-06-29T02:19:38.755Z,105,4,26-1304-00-1668135-1-1,Documento Base de Contratacion,IcbVBvE.docx,26-1304-00-1668135-1-1-documento_base_contratacion.docx,move,moved
667,2026-06-29T02:19:46.775Z,105,5,26-0517-02-1667662-1-1,Documento Base de Contratacion,zV7leTM6N.docx,26-0517-02-1667662-1-1-documento_base_contratacion.docx,move,moved
668,2026-06-29T02:19:54.796Z,105,6,26-1803-00-1668279-1-1,Documento Base de Contratacion,NEtaSfCU.docx,26-1803-00-1668279-1-1-documento_base_contratacion.docx,move,moved
669,2026-06-29T02:20:02.805Z,105,7,26-0376-00-1668271-1-1,Documento Base de Contratacion,YzDm83opBH.docx,26-0376-00-1668271-1-1-documento_base_contratacion.docx,move,moved
670,2026-06-29T02:20:10.828Z,105,8,26-0041-26-1668240-1-1,Documento Base de Contratacion,9HnUfB.docx,26-0041-26-1668240-1-1-documento_base_contratacion.docx,move,moved
671,2026-06-29T02:20:18.851Z,105,9,26-0041-00-1667565-1-1,Documento Base de Contratacion,HKEwPdTu.docx,26-0041-00-1667565-1-1-documento_base_contratacion.docx,move,moved
672,2026-06-29T02:20:36.737Z,106,1,26-0376-00-1668195-1-1,Documento Base de Contratacion,DLuHPsNl.docx,26-0376-00-1668195-1-1-documento_base_contratacion.docx,move,moved
673,2026-06-29T02:20:44.744Z,106,2,26-0907-00-1668282-1-1,Documento Base de Contratacion,mesmsE4.docx,26-0907-00-1668282-1-1-documento_base_contratacion.docx,move,moved
674,2026-06-29T02:20:52.751Z,106,3,26-0514-00-1667815-1-1,Documento Base de Contratacion,XCKKPnOij.docx,26-0514-00-1667815-1-1-documento_base_contratacion.docx,move,moved
675,2026-06-29T02:21:08.110Z,106,4,26-1206-00-1668125-1-1,Documento Base de Contratacion,pKJmYkx.docx,26-1206-00-1668125-1-1-documento_base_contratacion.docx,move,moved
676,2026-06-29T02:21:16.125Z,106,5,26-1311-00-1666153-1-2,Documento Base de Contratacion,YmrIK6jBG.docx,26-1311-00-1666153-1-2-documento_base_contratacion.docx,move,moved
